artifact	sha256	bytes	data_rows
panel-generation-provenance.json	97f5c1b7a524e8bb3081a1ab7cb52d96fef38d0a63e86719dc0eb91c81335f36	1635	1
panel-generation-summary.json	c5d3760cd5190c818348c3caf341bbecb3af514b31e8bfca4742db6ea625dc0f	757	1
panel-membership-manifest.tsv	9e104c2803304f69b0940dd77bc17bebd036ffef85aaca7c953e98d6cda3bfcd	478	6
panel-n10.txt	d8b997e50781abffd8f43685997f88241576532185e78fa8050fb1f4ab9e15b2	160	10
panel-n100.txt	8bb68b753a236fd2a0120105c6a340e48529940e36308016029ee264cfd7dd6e	1600	100
panel-n20.txt	c534e91143aa2f3b544e96be84e10e2ae03505572aff019390f0971beb6fecb9	320	20
panel-n200.txt	9d12cba38efde77d1c6f062e3c90ccbfa618e2f257ebe8835e0e20551f4ebbd3	3200	200
panel-n50.txt	420b046c1fd3b7d23ff51c62e2b91e52b083e0ac38d4f9073f56bbbaf5237a7f	800	50
panel-n500.txt	9f547080cabc0c6ed8c0b53e279d1dde7c61cd3d4898643335908d983e5a3077	8000	500
selector-v1-winning-ladder-n500.tsv	8248be8c69ec1433886c55649cdce3149cde17dc11f0f3ac8677c5052f58caf6	11878	500
