selection_rank	first_public_panel_n	genbank_assembly_accession	biosample_accession	ncbi_organism_name	ncbi_organism_taxid	bacselect_species_name	bacselect_species_taxid	assembly_name	submitter	assembly_release_date	panel_identity	selector	selector_version	architecture_schema_version	source_snapshot_sha256	taxonomy_snapshot_sha256	execution_git_commit	ncbi_assembly_url
1	10	GCA_000016065.1	SAMN00623064	Shewanella loihica PV-4	323850	Shewanella loihica	359303	ASM1606v1	US DOE Joint Genome Institute	2007-03-07	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_000016065.1/
2	10	GCA_051132515.1	SAMN40496905	Borrelia puertoricensis	2756107	Borrelia puertoricensis	2756107	ASM5113251v1	Baylor College of Medicine	2025-06-28	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_051132515.1/
3	10	GCA_030439285.2	SAMN10141384	[Borrelia] turdi	57863	[Borrelia] turdi	57863	ASM3043928v2	Institute for Genome Sciences	2025-02-28	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_030439285.2/
4	10	GCA_049606955.1	SAMN47217765	Streptomyces dryopteridis	3403460	Streptomyces dryopteridis	3403460	ASM4960695v1	Hunan University of Science and Technology	2025-04-15	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_049606955.1/
5	10	GCA_035974395.2	SAMN24016507	Streptomyces sp. NBC_01310	2903820	Streptomyces sp. NBC_01310	2903820	ASM3597439v2	Technical University of Denmark	2025-06-11	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_035974395.2/
6	10	GCA_019453995.1	SAMN14391954	Candidatus Rhabdochlamydia oedothoracis	2720720	Candidatus Rhabdochlamydia oedothoracis	2720720	ASM1945399v1	Centre for Microbiology and Environmental Systems Science	2021-08-05	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_019453995.1/
7	10	GCA_041346945.1	SAMN42835463	Amycolatopsis sp. cg9	3238801	Amycolatopsis sp. cg9	3238801	ASM4134694v1	hunankejidaxue	2024-08-19	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_041346945.1/
8	10	GCA_047324105.1	SAMN45131998	Brucella ceti	120577	Brucella ceti	120577	ASM4732410v1	BioISI	2025-01-30	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_047324105.1/
9	10	GCA_048541805.1	SAMN47099437	Caulobacter sp. ErkDOM-YI	3402779	Caulobacter sp. ErkDOM-YI	3402779	ASM4854180v1	Stockholm University	2025-03-11	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_048541805.1/
10	10	GCA_964030795.1	SAMEA114450611	Spiroplasma endosymbiont of Nomada ruficornis	3066325	Spiroplasma endosymbiont of Nomada ruficornis	3066325	iyNomRufi2.Spiroplasma_sp_1.1	WELLCOME SANGER INSTITUTE	2024-04-19	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_964030795.1/
11	20	GCA_964026585.1	SAMEA115290509	Candidatus Endowatersipora endosymbiont of Watersipora subatra	3077946	Candidatus Endowatersipora endosymbiont of Watersipora subatra	3077946	tzWatSuba1.Endowatersipora_sp_1.1	WELLCOME SANGER INSTITUTE	2024-04-13	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_964026585.1/
12	20	GCA_004296475.1	SAMD00080336	endosymbiont of Sipalinus gigas	1972134	endosymbiont of Sipalinus gigas	1972134	ASM429647v1	The Open University of Japan	2017-10-21	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_004296475.1/
