rank	accession	first_public_panel_n
1	GCA_000016065.1	10
2	GCA_051132515.1	10
3	GCA_030439285.2	10
4	GCA_049606955.1	10
5	GCA_035974395.2	10
6	GCA_019453995.1	10
7	GCA_041346945.1	10
8	GCA_047324105.1	10
9	GCA_048541805.1	10
10	GCA_964030795.1	10
11	GCA_964026585.1	20
12	GCA_004296475.1	20
13	GCA_008274905.1	20
14	GCA_044865155.1	20
15	GCA_017797885.1	20
16	GCA_045206375.1	20
17	GCA_018336915.1	20
18	GCA_020149975.1	20
19	GCA_030718845.1	20
20	GCA_014784575.1	20
21	GCA_000013705.1	50
22	GCA_018128905.1	50
23	GCA_046717785.1	50
24	GCA_000715355.2	50
25	GCA_046250205.1	50
26	GCA_011038645.2	50
27	GCA_000143085.1	50
28	GCA_020843965.1	50
29	GCA_023169945.1	50
30	GCA_001887265.1	50
31	GCA_947251695.1	50
32	GCA_004634385.1	50
33	GCA_022095675.2	50
34	GCA_020990385.1	50
35	GCA_002761215.1	50
36	GCA_050571355.1	50
37	GCA_024205945.1	50
38	GCA_001302585.1	50
39	GCA_030322965.1	50
40	GCA_020091585.1	50
41	GCA_000317555.1	50
42	GCA_018326145.1	50
43	GCA_043950205.1	50
44	GCA_003515045.1	50
45	GCA_050632245.1	50
46	GCA_023206395.1	50
47	GCA_003606285.1	50
48	GCA_042180575.1	50
49	GCA_030439775.2	50
50	GCA_029714205.1	50
51	GCA_045865405.1	100
52	GCA_000577895.1	100
53	GCA_050320165.1	100
54	GCA_030540775.2	100
55	GCA_023380225.1	100
56	GCA_039621805.1	100
57	GCA_045345765.1	100
58	GCA_001553625.1	100
59	GCA_004015185.1	100
60	GCA_001685415.1	100
61	GCA_005222125.1	100
62	GCA_000055945.1	100
63	GCA_007971225.1	100
64	GCA_018141445.1	100
65	GCA_030719215.1	100
66	GCA_051858855.1	100
67	GCA_030408615.1	100
68	GCA_039852015.1	100
69	GCA_046042685.1	100
70	GCA_018304685.1	100
71	GCA_009684715.1	100
72	GCA_034661235.1	100
73	GCA_009017495.1	100
74	GCA_044772865.1	100
75	GCA_017377355.1	100
76	GCA_023101005.1	100
77	GCA_004010835.2	100
78	GCA_001399775.1	100
79	GCA_023823835.1	100
80	GCA_026651855.1	100
81	GCA_002008305.4	100
82	GCA_051521375.1	100
83	GCA_001545095.1	100
84	GCA_042245395.1	100
85	GCA_000024985.1	100
86	GCA_030077565.1	100
87	GCA_038809135.1	100
88	GCA_000019165.1	100
89	GCA_008807075.1	100
90	GCA_051852995.1	100
91	GCA_022921115.1	100
92	GCA_964031175.1	100
93	GCA_026967615.1	100
94	GCA_022374875.3	100
95	GCA_013365535.1	100
96	GCA_042445055.1	100
97	GCA_036231985.1	100
98	GCA_030996345.1	100
99	GCA_007741535.1	100
100	GCA_030913685.1	100
101	GCA_045689595.1	200
102	GCA_020790095.1	200
103	GCA_051530195.1	200
104	GCA_027563495.1	200
105	GCA_004135585.1	200
106	GCA_018408705.1	200
107	GCA_041893865.1	200
108	GCA_014217665.1	200
109	GCA_023168365.1	200
